fioriId,RoleName,AppName,ApplicationType,UITechnology,BSPName,BSPApplicationURL,SAPUI5ComponentId,PrimaryODataServiceName,PrimaryODataServiceVersion,AdditionalODataServices,AdditionalODataServicesVersions,OData V4 Service Group,Link,
F0290A,Project Financial Controller,Project Definition (S/4HANA),Fact sheet,SAP Fiori elements,PS_PROJ_OVWS1,/sap/bc/ui5_ui5/sap/ps_proj_ovws1,i2d.ps.project.overviews1,PS_PROJECT_OVERV_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0290A
F0291A,Project Financial Controller,WBS Element (S/4HANA),Fact sheet,SAP Fiori elements,PS_WBS_OVWS1,/sap/bc/ui5_ui5/sap/ps_wbs_ovws1,i2d.ps.wbselement.overviews1,PS_WBSELEMENT_OVW_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0291A
F0292,Project Financial Controller,Change WBS Element Status,Transactional,SAP Fiori (SAPUI5),PS_WBSSTA_CHGS1,/sap/bc/ui5_ui5/sap/ps_wbssta_chgs1,i2d.ps.wbselestatus.change.s1,PS_WBSELEMENTSTATUSCHANGE_SRV,0001,SM_INTEGRATION_V2_SRV,0001,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0292
F0295,Project Financial Controller,Confirm Project Milestone,Transactional,SAP Fiori (SAPUI5),PS_MLST_CONFS1,/sap/bc/ui5_ui5/sap/ps_mlst_confs1,i2d.ps.milestone.confirm.s1,PS_MILESTONE_CONFIRM,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0295
F0296,Project Logistics Controller,Confirm Network Activity,Transactional,SAP Fiori (SAPUI5),PS_ACTY_CONFS1,/sap/bc/ui5_ui5/sap/ps_acty_confs1,i2d.ps.activity.confirm.s1,PS_ACTIVITY_CONFIRM,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0296
F0309A,Quality Technician,Inspection Point (S/4HANA),Transactional,SAP Fiori elements,QM_INSPSUBSETS1,/sap/bc/ui5_ui5/sap/qm_inspsubsets1,i2d.qm.inspsubset.manages1,QM_INSPSUBSET_MANAGE_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0309A
F0311A,Quality Technician,Inspection Method (S/4HANA),Fact sheet,SAP Fiori elements,QM_INSPMETHOPS1,/sap/bc/ui5_ui5/sap/qm_inspmethops1,i2d.qm.inspmethodobjectpages1,QM_INSPMETHOD_OBJECTPAGE_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0311A
F0333A,Promotion Specialist (Retail),Allocation Table (S/4HANA),"Transactional, Fact sheet",SAP Fiori elements,RFM_ALTBL_OPS1,/sap/bc/ui5_ui5/sap/rfm_altbl_ops1,rfm.allocationtable.ops1,RFM_ALLOC_TABLE_OP_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0333A
F0335A,Master Data Specialist - Location Data (Retail),Site (S/4HANA),"Transactional, Fact sheet",SAP Fiori elements,RFM_SITE_OPS1,/sap/bc/ui5_ui5/sap/rfm_site_ops1,rfm.site.ops1,RFM_SITE_OP_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0335A
F0336A,Promotion Specialist (Retail),Retail Promotion (S/4HANA),"Transactional, Fact sheet",SAP Fiori elements,RFM_PRMTN_OPS1,/sap/bc/ui5_ui5/sap/rfm_prmtn_ops1,rfm.promotion.ops1,RFM_PROMOTION_OP_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0336A
F0337,Strategic Buyer,Manage Purchasing Categories,Transactional,SAP Fiori elements,SLC_PURGCATS1,/sap/bc/ui5_ui5/sap/slc_purgcats1,ui.s2p.slc.purgcategory.ops1,C_PURCHASINGCAT_FS_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0337
F0338A,Others,Material Master,"Transactional, Fact sheet",SAP Fiori elements,MD_PROD_MOPC_S1,/sap/bc/ui5_ui5/sap/MD_PROD_MOPC_S1,mdm.cmd.product.maintain.ops2,MD_PRODUCT_FS_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0338A
F0346A,Accounts Payable Accountant - Procurement,Supplier Invoice (S/4HANA),Transactional,SAP Fiori elements,MM_INVOICES1,/sap/bc/ui5_ui5/sap/mm_invoices1,ui.s2p.mm.suplrinvoice.ops1,C_SUPPLIERINVOICE_FS_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0346A
F0348,Purchaser,Purchase Order,Fact sheet,SAP Fiori (SAPUI5),MM_PURORDERS1,/sap/bc/ui5_ui5/sap/mm_purorders1,,C_PURCHASEORDER_FS_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0348
F0348A,Purchaser,Purchase Order (Version 2),Transactional,SAP Fiori elements,MM_PURORDERS1,/sap/bc/ui5_ui5/sap/mm_purorders1,ui.s2p.mm.purorder.ops1,C_PURCHASEORDER_FS_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0348A
F0349,Purchaser,Purchase Requisition Item,Fact sheet,SAP Fiori (SAPUI5),MM_REQNITEMS1,/sap/bc/ui5_ui5/sap/mm_reqnitems1,ui.s2p.mm.purreqnitem.ops1,C_PURREQUISITIONITEM_FS_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0349
F0349A,Purchaser,Purchase Requisition Item (Version 2),"Transactional, Fact sheet",SAP Fiori elements,MM_REQNITEMS1,/sap/bc/ui5_ui5/sap/mm_reqnitems1,ui.s2p.mm.purreqnitem.ops1,C_PURREQUISITIONITEM_FS_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0349A
F0350A,Purchaser,Purchase Contract (S/4HANA),Fact sheet,SAP Fiori elements,MM_CONTRS1,/sap/bc/ui5_ui5/sap/mm_contrs1,,C_CONTRACT_FS_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0350A
F0351,Purchaser,Purchasing Info Record,Fact sheet,SAP Fiori (SAPUI5),MM_INFORECDS1,/sap/bc/ui5_ui5/sap/mm_inforecds1,ui.s2p.mm.inforecord.ops1,C_PURGINFORECORD_FS_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0351
F0351A,Purchaser,Purchasing Info Record (Version 2),Fact sheet,SAP Fiori elements,MM_INFORECDS1,/sap/bc/ui5_ui5/sap/mm_inforecds1,ui.s2p.mm.inforecord.ops1,C_PURGINFORECORD_FS_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0351A
F0354,Purchaser,Supplier,Fact sheet,SAP Fiori elements,MD_SUPPLIERSS1,/sap/bc/ui5_ui5/sap/md_supplierss1,mdm.cmd.supplier.ops1,C_SUPPLIER_FS_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0354
F0366,Manager - Finance Info,My Spend (Version 2),Transactional,SAP Fiori (SAPUI5),FIN_MYSPEND,/sap/bc/ui5_ui5/sap/fin_myspend,fin.co.myspend,FCO_MS_SPEND_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0366
F0368,Manager - Finance Info,My Unusual Items,Transactional,SAP Fiori (SAPUI5),FIN_MYUNUSITEMS,/sap/bc/ui5_ui5/sap/fin_myunusitems,fin.co.myunusualitems,FCO_MU_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0368
F0379A,Inventory Manager,Manage Physical Inventory Documents,"Transactional, Fact sheet",SAP Fiori elements,MMIM_PIDOCS1,/sap/bc/ui5_ui5/sap/mmim_pidocs1,ui.s2p.mm.im.objectpage.pidoc,MM_IM_PHYS_INV_DOC_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0379A
F0380,Accounts Receivable Accountant,Process Collections Worklist,Transactional,SAP Fiori (SAPUI5),FSCM_COLLWORKL,/sap/bc/ui5_ui5/sap/fscm_collworkl,fscm.col.mycollcalllist,UDMO_COLLECTION_WORKLIST,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0380
F0400A,Manager - Procurement,My Inbox - Approve Purchase Contracts,Transactional,SAP Fiori: My Inbox,CA_FIORI_INBOX,/sap/bc/ui5_ui5/sap/ca_fiori_inbox,cross.fnd.fiori.inbox,C_CONTRACT_FS_SRV,0001,/IWPGW/TASKPROCESSING,0002,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0400A
F0401A,Manager - Procurement,My Inbox - Approve Purchase Requisitions,Transactional,SAP Fiori: My Inbox,CA_FIORI_INBOX,/sap/bc/ui5_ui5/sap/ca_fiori_inbox,cross.fnd.fiori.inbox,C_PURREQUISITION_FS_SRV,0001,/IWPGW/TASKPROCESSING,0002,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0401A
F0402A,Purchasing Manager,My Inbox - Approve Purchase Order,Transactional,SAP Fiori: My Inbox,CA_FIORI_INBOX,/sap/bc/ui5_ui5/sap/ca_fiori_inbox,cross.fnd.fiori.inbox,/IWPGW/TASKPROCESSING,0002,C_PURCHASEORDER_FS_SRV,0001,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0402A
