FioriId;AppName;Link;MainServiceName;ServiceUri;ODataVersion;SEGWProject;ProgrammingModel;BusinessEntity;FPM_Extended
F5260;ScheduleHandlingUnitcreationfromJITPackageGroup;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F5260;APJ_JOB_MANAGEMENT_SRV;/sap/opu/odata/sap/APJ_JOB_MANAGEMENT_SRV;2.0;APJ_JOB_MANAGEMENT;N/A;;N/A
F5275;MassChangeofSalesContracts;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F5275;SD_MCC_CCO_MASS_UPDATE_SRV;/sap/opu/odata/sap/SD_MCC_CCO_MASS_UPDATE_SRV;2.0;SD_MCC_CCO_MASS_UPDATE;N/A;;N/A
F5277;MassChangeofSalesQuotations;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F5277;SD_MCC_SQ_MASS_UPDATE_SRV;/sap/opu/odata/sap/SD_MCC_SQ_MASS_UPDATE_SRV;2.0;SD_MCC_SQ_MASS_UPDATE;N/A;;N/A
F5278;MassChangeofSalesSchedulingAgreements;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F5278;SD_MCC_SCH_MASS_UPDATE_SRV;/sap/opu/odata/sap/SD_MCC_SCH_MASS_UPDATE_SRV;2.0;SD_MCC_SCH_MASS_UPDATE;N/A;;N/A
F5279;MassChangeofCustomerReturns;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F5279;SD_MCC_CR_MASS_UPDATE_SRV;/sap/opu/odata/sap/SD_MCC_CR_MASS_UPDATE_SRV;2.0;SD_MCC_CR_MASS_UPDATE;N/A;;N/A
F5280;MassChangeofDebitMemoRequests;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F5280;SD_MCC_DMR_MASS_UPDATE_SRV;/sap/opu/odata/sap/SD_MCC_DMR_MASS_UPDATE_SRV;2.0;SD_MCC_DMR_MASS_UPDATE;N/A;;N/A
F5281;MassChangeofCreditMemoRequests;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F5281;SD_MCC_CMR_MASS_UPDATE_SRV;/sap/opu/odata/sap/SD_MCC_CMR_MASS_UPDATE_SRV;2.0;SD_MCC_CMR_MASS_UPDATE;N/A;;N/A
F5294;ReviewAvailabilityCheckResult-ProductAllocation;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F5294;;;;;N/A;;N/A
F5336;MassChangeofSalesOrderswithoutCharge;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F5336;SD_MCC_SOW_MASS_UPDATE_SRV;/sap/opu/odata/sap/SD_MCC_SOW_MASS_UPDATE_SRV;2.0;SD_MCC_SOW_MASS_UPDATE;N/A;;N/A
F5380;Short-TermCashPositioning;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F5380;UI_SHORTTERMCASHPOS_DISP;/sap/opu/odata/sap/UI_SHORTTERMCASHPOS_DISP;2.0;;N/A;;N/A
F5413;ManageConditionContracts-Customers;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F5413;ui_lo_setman_custcc_man;/sap/opu/odata4/sap/ui_lo_setman_custcc_man/srvd/sap/ui_lo_setman_custcc_man/0001;4.0;;RAP;R_ConditionContractTP;No
F5432;MyInbox-ApproveSalesOrderswithoutCharge;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F5432;TASKPROCESSING;/sap/opu/odata/IWPGW/TASKPROCESSING;2.0;;N/A;;N/A
F5444;MyInboxforPaymentRequisitions;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F5444;TASKPROCESSING;/sap/opu/odata/IWPGW/TASKPROCESSING;2.0;;N/A;;N/A
F5476;PostSubsequentAdjustment;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F5476;MMIM_GR4PO_DL_SRV;/sap/opu/odata/sap/MMIM_GR4PO_DL_SRV;2.0;MMIM_GR4PO_DL;N/A;;N/A
F5488;DefineBankAccountSettings-BankStatements;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F5488;BANKSTATEMENTPROCCONF_O2;/sap/opu/odata/sap/BANKSTATEMENTPROCCONF_O2;2.0;;RAP;C_BankStatementProcessConfig;Yes
F5504;ReviewAvailabilityCheckResult-SupplyProtection;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F5504;;;;;N/A;;N/A
F5742;ManagePowersofAttorneyforBankingTransactions;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F5742;UI_BANKPOWEROFATTORNEY_MNG;/sap/opu/odata/sap/UI_BANKPOWEROFATTORNEY_MNG;2.0;;RAP;R_BankPowerOfAttorneyTP;Yes
F5764;VerifyIntercompanyVarianceAdjmt;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F5764;TASKPROCESSING;/sap/opu/odata/IWPGW/TASKPROCESSING;2.0;;N/A;;N/A
F5787;ManageTeamsandResponsibilities-Just-In-Time;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F5787;CA_RSM_TEAM_SRV;/sap/opu/odata/sap/CA_RSM_TEAM_SRV;2.0;CA_RSM_TEAM;BOPF;I_RespyMgmtTeamHeaderTP;Yes
F5804;ScheduleCustomActionsforJIT/JISCalls;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F5804;APJ_JOB_MANAGEMENT_SRV;/sap/opu/odata/sap/APJ_JOB_MANAGEMENT_SRV;2.0;APJ_JOB_MANAGEMENT;N/A;;N/A
F5859;ApproveBankAccountApplications;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F5859;BANKACCOUNTOPENINGREQWL;/sap/opu/odata/sap/BANKACCOUNTOPENINGREQWL;2.0;;RAP;C_BankAccountOpeningReqWl;Yes
F5860;BankAccountApplications;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F5860;BANKACCOUNTOPENINGREQOVW;/sap/opu/odata/sap/BANKACCOUNTOPENINGREQOVW;2.0;;RAP;C_BankAccountOpeningReqOvw;Yes
